"district","distcode","commune","commcode","clinic_id","long","lat"
"Tsiroanomandidy","MG14111","Ankadinondry Sakay","MG14111090",390,46.463,-18.974
"Tsiroanomandidy","MG14111","Ankerana Avaratra","MG14111110",391,46.119,-18.585
"Tsiroanomandidy","MG14111","Anosy","MG14111190",392,46.43,-18.8284
"Tsiroanomandidy","MG14111","Belobaka","MG14111230",393,45.6921,-18.9945
"Tsiroanomandidy","MG14111","Bemahatazana","MG14111290",394,45.9459,-19.0486
"Tsiroanomandidy","MG14111","Bevato","MG14111070",395,46.2573,-18.6935
"Tsiroanomandidy","MG14111","Fierenana","MG14111310",396,45.8461,-18.5455
"Tsiroanomandidy","MG14111","Mahasolo","MG14111270",397,46.3671,-19.1218
"Tsiroanomandidy","MG14111","Maritampona","MG14111052",398,46.1131,-19.0371
"Tsiroanomandidy","MG14111","Maroharona","MG14111330",399,46.2932,-19.2764
"Tsiroanomandidy","MG14111","Miandrarivo","MG14111130",400,45.9897,-18.9372
"Tsiroanomandidy","MG14111","Soanierana","MG14111170",401,46.2513,-18.6341
"Tsiroanomandidy","MG14111","Tsinjoarivo Imanga","MG14111150",402,46.3196,-18.933
"Tsiroanomandidy","MG14111","Tsiroanomandidy Fihaonana","MG14111030",403,46.0107,-18.6152
"Tsiroanomandidy","MG14111","Tsiroanomandidy Fihaonana","MG14111030",404,46.1112,-18.7903
"Miarinarivo","MG13112","Andolofotsy","MG13112210",405,46.5388,-18.7539
"Arivonimamo","MG13105","Antenimbe","MG13105212",406,47.1071,-19.214
"Arivonimamo","MG13105","Arivonimamo II","MG13105030",407,47.1657,-19.0149
"Arivonimamo","MG13105","Imerintsiatosika","MG13105130",408,47.3224,-18.9917
"Arivonimamo","MG13105","Manalalondo","MG13105211",409,47.1598,-19.2657
"Arivonimamo","MG13105","Marofangady","MG13105215",410,47.0834,-19.3164
"Arivonimamo","MG13105","Miandrandra","MG13105292",411,47.2705,-19.2203
"Arivonimamo","MG13105","Miantsoarivo","MG13105310",412,47.4052,-19.1997
"Arivonimamo","MG13105","Morafeno","MG13105110",413,47.0966,-19.0919
"Arivonimamo","MG13105","Morarano","MG13105150",414,47.303,-18.9132
"Arivonimamo","MG13105","Imerintsiatosika","MG13105130",415,47.3222,-18.9777
"Antsirabe II","MG12118","Alakamisy","MG12118050",416,46.9856,-19.8046
"Antsirabe II","MG12118","Ambano","MG12118010",417,47.0292,-19.6975
"Antsirabe II","MG12118","Ambatomena","MG12118310",418,47.3018,-19.8176
"Antsirabe II","MG12118","Ambohibary","MG12118331",419,47.1368,-19.6184
"Antsirabe II","MG12118","Ambohidranandriana","MG12118130",420,47.1703,-19.904
"Antsirabe II","MG12118","Ambohidranandriana","MG12118130",421,47.1886,-19.9445
"Antsirabe II","MG12118","Ambohimiarivo","MG12118150",422,47.1646,-19.8351
"Antsirabe II","MG12118","Andranomanelatra","MG12118110",423,47.112,-19.7744
"Antsirabe II","MG12118","Antsoatany","MG12118230",424,47.1673,-19.7623
"Antsirabe II","MG12118","Ambohitsimanova","MG12118170",425,47.1416,-20.0246
"Antsirabe II","MG12118","Antanambao","MG12118370",426,47.3911,-19.9577
"Antsirabe II","MG12118","Antanimandry","MG12118070",427,46.9634,-19.8538
"Antsirabe II","MG12118","Antanimandry","MG12118070",428,46.9468,-19.8307
"Antsirabe II","MG12118","Antsoatany","MG12118230",429,47.1561,-19.699
"Antsirabe II","MG12118","Belazao","MG12118030",430,46.9681,-19.8935
"Antsirabe II","MG12118","Alatsinainy Ibity","MG12118250",431,46.9645,-20.1985
"Antsirabe II","MG12118","Manandona","MG12118210",432,47.0615,-20.0627
"Antsirabe II","MG12118","Mandrosohasina","MG12118332",433,47.1756,-19.5853
"Antsirabe II","MG12118","Mangarano","MG12118190",434,46.979,-19.962
"Antsirabe II","MG12118","Sahanivotry Manandona","MG12118270",435,47.0588,-20.1361
"Antsirabe II","MG12118","Soanindrariny","MG12118290",436,47.236,-19.906
"Antsirabe II","MG12118","Tsarahonenana Sahanivotry","MG12118350",437,47.268,-19.994
"Antsirabe II","MG12118","Vinaninkarena","MG12118090",438,47.0421,-19.9735
"Ambatolampy","MG12110","Ambatolampy","MG12110010",439,47.4313,-19.3759
"Ambatolampy","MG12110","Ambatolampy","MG12110010",440,47.4478,-19.377
